datetime,filename,exported,new,updated,skipped,exif_updated,touched,converted_to_jpeg,sidecar_xmp,sidecar_json,sidecar_exiftool,missing,error,exiftool_warning,exiftool_error,extended_attributes_written,extended_attributes_skipped,cleanup_deleted_file,cleanup_deleted_directory,exported_album,sidecar_user,sidecar_user_error,user_written,user_skipped,user_error
2024-06-23T11:37:28.229700,/Users/sglavoie/Pictures/export/2024/06/Yuna/2024-06-07-125545_IMG_5298.HEIC,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.231488,/Users/sglavoie/Pictures/export/2024/06/2024-06-01-154706_IMG_2682.HEIC,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.233404,/Users/sglavoie/Pictures/export/2023/04/2023-04-22-095025_IMG_0921.JPG,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.235330,/Users/sglavoie/Pictures/export/2022/11/2022-11-06-085019_IMG_0584.JPG,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.237381,/Users/sglavoie/Pictures/export/2023/11/Pregnancy_Yuna/2023-11-11-171035_IMG_1309.JPG,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.239860,/Users/sglavoie/Pictures/export/2024/04/Yuna/2024-04-25-104159_IMG_2304.HEIC,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.241969,/Users/sglavoie/Pictures/export/2022/03/Marriage/2022-03-27-172912_IMG_0223.JPG,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.244089,/Users/sglavoie/Pictures/export/2022/12/San_Diego_Yuna/2022-12-17-095955_IMG_0735.JPG,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.246211,/Users/sglavoie/Pictures/export/2022/03/Marriage/2022-03-27-191144_IMG_0248.JPG,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.248421,/Users/sglavoie/Pictures/export/2023/04/2023-04-09-171433_IMG_0904.JPG,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.250664,/Users/sglavoie/Pictures/export/2024/05/Yuna/2024-05-19-160040_IMG_2504.JPG,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.252863,/Users/sglavoie/Pictures/export/2024/04/Yuna/2024-04-22-101100_IMG_4772.HEIC,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.254868,/Users/sglavoie/Pictures/export/2022/10/2022-10-22-212948_IMG_0574.JPG,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.256965,/Users/sglavoie/Pictures/export/2023/04/2023-04-09-171426_IMG_0903.JPG,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.259195,/Users/sglavoie/Pictures/export/2023/10/2023-10-29-162334_IMG_1182.JPG,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.261338,/Users/sglavoie/Pictures/export/2024/04/Yuna/2024-04-23-092114_IMG_4792.HEIC,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.263097,/Users/sglavoie/Pictures/export/2024/04/Yuna/2024-04-13-121300_IMG_2142.mov,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.263097,/Users/sglavoie/Pictures/export/2024/04/Yuna/2024-04-13-121300_IMG_2142.JPG,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.266103,/Users/sglavoie/Pictures/export/2024/05/Yuna/2024-05-13-132057_IMG_5035.HEIC,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.268161,/Users/sglavoie/Pictures/export/2024/03/2024-03-17-141557_IMG_1886.JPG,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.270351,/Users/sglavoie/Pictures/export/2024/04/Yuna/2024-04-21-143833_IMG_2272.HEIC,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.272645,/Users/sglavoie/Pictures/export/2023/04/2023-04-09-101500_IMG_0894.JPG,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.275134,/Users/sglavoie/Pictures/export/2024/04/Yuna/2024-04-02-092310_IMG_2068.JPG,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.277189,/Users/sglavoie/Pictures/export/2024/04/Yuna/2024-04-21-124149_IMG_2234.HEIC,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.279170,/Users/sglavoie/Pictures/export/2024/04/Yuna/2024-04-13-165730_IMG_2146.JPG,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.279170,/Users/sglavoie/Pictures/export/2024/04/Yuna/2024-04-13-165730_IMG_2146_edited.jpeg,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.279170,/Users/sglavoie/Pictures/export/2024/04/Yuna/2024-04-13-165730_IMG_2146.mov,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.279170,/Users/sglavoie/Pictures/export/2024/04/Yuna/2024-04-13-165730_IMG_2146_edited.mov,0,0,0,0,0,0,0,0,0,0,1,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.568103,/Users/sglavoie/Pictures/export/2024/03/Yuna/2024-03-21-174259_IMG_1922.JPG,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.580479,/Users/sglavoie/Pictures/export/2024/06/WhatsApp/2024-06-09-204141_b75fdbc4-3752-488e-8dde-a3f33a677da7_edited.jpeg,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.580479,/Users/sglavoie/Pictures/export/2024/06/Yuna/2024-06-09-204141_b75fdbc4-3752-488e-8dde-a3f33a677da7_edited.jpeg,1,1,0,0,1,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.580479,/Users/sglavoie/Pictures/export/2024/06/Yuna/2024-06-09-204141_b75fdbc4-3752-488e-8dde-a3f33a677da7.jpg,1,1,0,0,1,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.580479,/Users/sglavoie/Pictures/export/2024/06/WhatsApp/2024-06-09-204141_b75fdbc4-3752-488e-8dde-a3f33a677da7.jpg,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
